,learning_pathway_order,learning_goal_id,learning_goal
0,1,4,appreciate that a chemist often shifts between the macroscopic and particulate views of matter
1,3,84,understand avogadro's number and convert between number of moles and the number of particles
2,9,264,"using threshold (work function) energy, understand how to calculate the electron energy of ejected electrons"
3,11,7,understand that an atom is the smallest particle of an element
4,25,1223,can use the debroglie relationship to relate wavelength to particle momentum
5,30,1222,understand the relationship between particle momentum and wavelength
6,37,1296,Understand the basic structure of atoms; nucleus of proton and neutrons surrounded by an electron cloud.
7,66,284,explain the use of the quantum mechanical model of the atom to represent the energy and probable location of electrons
8,68,64,understand that electrons surround the nucleus in an atom
9,71,1299,Can write and understand atomic symbols from the periodic table with atomic and mass number.
10,79,1301,"Understand the length and size scale of atoms and molecules.
"
11,80,1302,"Understand the dimensions of atoms, molecules"
12,87,60,can describe the physical properties of neutrons
13,88,52,"understand the composition of  atomic nuclei and their roll in atomic structure, function and properties of elements."
14,91,76,"understand the mass of atoms is almost entirely in the nucleus, the volume from the electron cloud."
15,92,1297,"understand atomic number, the number of protons in the nucleus, determines the identity of an element."
16,94,70,"can use atomic number, z, operationally and conceptually"
17,95,1298,understand the mass number is the sum of protons and neutrons in the nucleus of an element and differentiate atomic mass.
18,100,77,understand atomic masses are relative to 12c atoms with a mass of exactly 12 amu
19,103,74,understands the role isotopes play in determining the relative atomic mass of an element
20,108,72,"can define isotope, isotopic abundance and mass number"
21,111,73,"can determine the numbers of neutrons, protons, and electrons in an isotope from atomic number and mass number, and write the chemical symbol for an isotope"
22,114,75,understand that atomic mass is a weighted average of the masses of the atoms (isotopes) in naturally occurring elements
23,117,80,can interpret mass spectral data of elements and simple compounds
24,126,79,can describe the function and operation of a mass spectrometer
25,132,92,describe the properties of molecular compounds
26,134,385,"describe the energy changes associated with the formation of an ionic bond (ionization energy, electron affinity, lattice energy)"
27,139,113,understand that the molecular formula describes the number of each kind of atom in one molecule of the compound
28,142,149,can recognize common acids and bases and predict when neutralization reactions will occur
29,143,83,"can describe amounts of matter in moles, avogadro's number, and molar masses"
30,152,121,use stoichiometric principles in chemical analysis of compounds
31,153,82,understand the mole is a base unit that measures the quantity of matter compared to the number of atoms of carbon in a sample of carbon-12
32,160,110,understand that the empirical formula describes the simplest ratio of atoms that make up the substance
33,165,112,use mass data to determine an empirical formula
34,168,116,interpret the information conveyed by a balanced chemical equation
35,171,115,understand that balanced chemical equations can be used to calculate relative amounts of reactants and products
36,172,1303,Understand how compounds participate stoichiometrically in chemical reactions
37,173,654,understand that catalysts increase the rate of chemical reactions by reducing the activation energy
38,176,122,use stoichiometric principles in the chemical analysis of a mixture
39,177,1304,understand conservation of mass as thel basis for stoichiometry 
40,180,120,use mole ratios to determine relative quantities of matter involved in chemical reactions
41,182,128,calculate the theoretical yield of product(s) and the quantity of other reactant(s) consumed or unreacted in limiting reactant problems
42,184,126,identify the limiting reactant in a reaction
43,186,1200,recognize visible wavelengths range from approximately 400-700 nm
