,tag_id,tag,learning_goal_id,learning_byte_id
0,1,atomic structure,1296,4
1,1,atomic structure,60,12
2,1,atomic structure,1298,757
3,1,atomic structure,1297,756
4,1,atomic structure,1296,940
5,1,atomic structure,1296,941
6,1,atomic structure,1296,939
7,1,atomic structure,52,754
8,1,atomic structure,7,753
9,1,atomic structure,1296,931
10,1,atomic structure,7,931
11,1,atomic structure,1299,931
12,1,atomic structure,1296,755
13,1,atomic structure,52,758
14,1,atomic structure,7,2
15,1,atomic structure,72,16
16,1,atomic structure,1298,7
17,1,atomic structure,7,6
18,1,atomic structure,1296,14
19,1,atomic structure,7,946
20,1,atomic structure,7,932
21,1,atomic structure,1296,932
22,1,atomic structure,1296,943
23,1,atomic structure,73,13
24,1,atomic structure,73,13
25,1,atomic structure,74,15
26,1,atomic structure,7,10
27,1,atomic structure,1299,10
28,1,atomic structure,1,8
29,1,atomic structure,1297,8
30,1,atomic structure,1299,8
31,1,atomic structure,61,11
32,1,atomic structure,52,3
33,1,atomic structure,1302,417
34,1,atomic structure,1302,416
35,1,atomic structure,1296,1
36,1,atomic structure,1296,953
37,1,atomic structure,1296,954
38,1,atomic structure,1296,955
39,1,atomic structure,1296,956
40,1,atomic structure,1296,957
41,1,atomic structure,1296,958
42,1,atomic structure,284,959
43,1,atomic structure,284,960
44,1,atomic structure,70,313
45,1,atomic structure,1296,313
46,1,atomic structure,1296,976
47,1,atomic structure,1296,343
48,1,atomic structure,1296,344
49,1,atomic structure,1342,341
50,1,atomic structure,1342,342
51,1,atomic structure,1299,1831
52,1,atomic structure,1299,1832
53,1,atomic structure,1298,1845
54,1,atomic structure,1298,1864
55,1,atomic structure,1296,1942
56,1,atomic structure,1296,1943
57,1,atomic structure,1002,1983
58,1,atomic structure,1005,1984
59,1,atomic structure,1311,1985
60,1,atomic structure,914,1988
61,1,atomic structure,914,1991
62,1,atomic structure,927,1992
63,1,atomic structure,1005,1995
64,1,atomic structure,914,1996
65,1,atomic structure,914,1997
66,1,atomic structure,914,2000
67,1,atomic structure,924,2001
68,1,atomic structure,914,2002
69,1,atomic structure,927,2003
70,1,atomic structure,1005,2004
71,1,atomic structure,1002,2005
72,1,atomic structure,1005,2006
73,1,atomic structure,999,2007
74,1,atomic structure,926,2008
75,1,atomic structure,914,2010
76,1,atomic structure,914,2011
77,1,atomic structure,1005,2012
78,1,atomic structure,1005,2017
79,1,atomic structure,1012,2019
80,1,atomic structure,1005,2020
81,1,atomic structure,1012,2021
82,1,atomic structure,999,2022
83,1,atomic structure,999,2023
84,1,atomic structure,1023,2024
85,1,atomic structure,1010,2025
86,1,atomic structure,1023,2028
87,1,atomic structure,999,2029
88,1,atomic structure,1012,2030
89,1,atomic structure,1012,2031
90,1,atomic structure,1005,2032
91,1,atomic structure,993,2033
92,1,atomic structure,1005,2034
93,1,atomic structure,999,2035
94,1,atomic structure,1005,2036
95,1,atomic structure,1023,2037
96,1,atomic structure,1016,2038
97,1,atomic structure,1286,2065
98,1,atomic structure,1311,2072
99,1,atomic structure,1311,2073
100,1,atomic structure,1287,2114
101,1,atomic structure,1130,2071
102,1,atomic structure,996,2018
103,1,atomic structure,1107,2052
104,1,atomic structure,1162,2062
105,1,atomic structure,1023,2112
